region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
North Africa,"December 03, 2017",2017,2,NA,2,NA,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya","22.609863280000, 29.200423170000",NA
Central America,"December 03, 2017",2017,1,NA,1,NA,"Hit by train, Train Accident","Train tracks near Rancho Moralitos, Celaya, Guanajuato, Mexico","20.488650070090, -100.800033950970","http://bit.ly/2orClLV, http://bit.ly/2Fxs1cK"
North Africa,"December 02, 2017",2017,3,3,NA,NA,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya","15.534667970000, 24.297353380000",NA
North Africa,"December 01, 2017",2017,10,NA,10,NA,Dehydration,"Unspecified location in the Sahara desert, Libya","14.106445310000, 29.051517840000",NA
Mediterranean,"November 30, 2017",2017,28,4,24,1,Presumed drowning,"Unspecified location in Gibraltar Strait. Boat left from Asilah, Morocco","35.928564408919, -5.893536298438","http://bit.ly/2zBICs0, http://bit.ly/2jzvL2z, http://bit.ly/2kbmi5B"
US-Mexico Border,"November 30, 2017",2017,1,NA,1,NA,Unknown (violence),"Tecate, Baja California, Mexico","32.575382802031, -116.635383545510",http://bit.ly/2AwkzOy
North Africa,"November 30, 2017",2017,14,1,NA,1,"Starvation, Excessive Physical Abuse","Bani Walid, Libya","14.053676000000, 31.797583100000",NA
North Africa,"November 30, 2017",2017,3,NA,3,NA,Unknown,"Sabratha, Libya","12.449522100000, 32.781101600000",NA
North Africa,"November 30, 2017",2017,2,NA,2,NA,Dehydration,"Unspecified location in the Sahara desert, Libya","13.853759770000, 28.464013180000",NA
Mediterranean,"November 29, 2017",2017,4,NA,NA,NA,Drowning,"5 miles south of Tarifa, Cádiz, Spain","35.970153678605, -5.603076408984","http://bit.ly/2k9fLZo, http://bit.ly/2k8VtiE, http://bit.ly/2jwEJxV, http://reut.rs/2iqVm1u"
US-Mexico Border,"November 29, 2017",2017,1,NA,1,NA,Shot,"Remote area of the Baboquivari Mountain Range, west of Three Points,  27 miles southwest of Tucson, Arizona, USA","31.805409100000, -111.617671300000","http://bit.ly/2k9vqYx, http://bit.ly/2AdF1Vp"
Middle East,"November 29, 2017",2017,1,NA,1,NA,Vehicle Accident,"Laristan province, Iran","33.581839400000, 48.398818600000",NA
US-Mexico Border,"November 29, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Laborcitas Creek Ranch, Falfurrias, Brooks County, Texas","27.240319400000, -98.204450400000",NA
Middle East,"November 28, 2017",2017,1,NA,1,NA,Shot,"Sarwan, Sistan and Baluchestan province, Iran","27.352603300000, 62.344781500000",NA
Mediterranean,"November 28, 2017",2017,1,NA,1,NA,Presumed drowning,"5 miles south of Cape Trafalgar, near Barbate, Cádiz, Spain","36.082470985786, -6.026000976563","http://bit.ly/2igJf78, http://bit.ly/2ieYqO1"
Europe,"November 28, 2017",2017,4,NA,NA,NA,Vehicle Accident,"Cliff near Kavala, east of Thessaloniki, Greece","40.937607000000, 24.412866000000","http://bit.ly/2Bks8Fi, http://bit.ly/2iLH0bV"
Central America,"November 28, 2017",2017,1,NA,1,1,Hit by train,"Train tracks near Éjido Independencia, Tenosique, Tabasco, Mexico","17.472665000000, -91.425051000000",http://bit.ly/2Azf95s
US-Mexico Border,"November 28, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.882441400000, -111.396185700000",http://www.humaneborders.info/app/mapa.asp
Mediterranean,"November 27, 2017",2017,1,NA,1,NA,Unknown,"Body found inside boat in Port of Melilla, Spain","35.290387494344, -2.926591903613","http://bit.ly/2B8UkOs, http://bit.ly/2BVvfDM"
US-Mexico Border,"November 27, 2017",2017,1,NA,1,NA,Unknown,"Open desert, Salton City, Imperial County, California","-116.004580000000, 33.288720000000",NA
Sub-Saharan Africa,"November 27, 2017",2017,2,NA,2,NA,Sickness and lack of access to medicines,"Cotonou, Benin","2.391236200000, 6.370292800000",NA
Middle East,"November 27, 2017",2017,1,NA,1,NA,Shot,"Sarwan, Sistan and Baluchestan province, Iran","27.352603300000, 62.344781500000",NA
North Africa,"November 26, 2017",2017,2,NA,2,NA,"Starvation, Dehydration","Brak Shati, Libya","14.268665800000, 27.550779000000",NA
Sub-Saharan Africa,"November 26, 2017",2017,1,NA,1,1,Vehicle Accident,"Dakar, Senegal","-17.467686100000, 14.716677000000",NA
Sub-Saharan Africa,"November 26, 2017",2017,1,NA,1,1,Vehicle Accident,"Ougadougou, Burkina Faso","-1.519660300000, 12.371427700000",NA
North Africa,"November 26, 2017",2017,3,NA,NA,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","14.238281250000, 24.557428430000",NA
Mediterranean,"November 25, 2017",2017,31,18,NA,3,Drowning,"Off the coast of Garabulli, Libya","32.801959442053, 13.720786873047","http://bbc.in/2jnlK8P, http://bit.ly/2BfvskW"
Mediterranean,"November 25, 2017",2017,1,NA,1,NA,Presumed drowning,"Off the coast of Tarifa, Cádiz, Spain","35.988768038194, -5.611316155078","http://bit.ly/2jqOBc7, http://bit.ly/2zs4i9L"
Mediterranean,"November 25, 2017",2017,1,NA,NA,NA,Presumed drowning,"Off the coast of Barbate, Cádiz, Spain","36.178832465467, -5.909786224365","http://bit.ly/2jqOBc7, http://bit.ly/2zs4i9L"
Mediterranean,"November 25, 2017",2017,6,NA,NA,NA,Presumed drowning,Unspecified location off the coast of Morocco,"35.850559281577, -5.679503544922",http://bit.ly/2zs4i9L
Mediterranean,"November 25, 2017",2017,1,NA,1,1,Suffocation,"Off the coast of Mytilene, Lesvos, Greece","39.117926486658, 26.584397197559","http://bit.ly/2iVS7Mn, http://www.hcg.gr/node/16588, http://bit.ly/2ADg19V"
Southeast Asia,"November 25, 2017",2017,3,2,1,NA,Vehicle Accident,"Na Yai Arm-Ban Khao Wongkot road, in Kaeng Hang Maew district of Chanthaburi, Thailand","13.129562500000, 101.843556800000",http://bit.ly/2jas2Zz
Middle East,"November 25, 2017",2017,1,NA,1,NA,Vehicle Accident,"Jiroft, Kerman province, Iran","28.675112400000, 57.737156900000",NA
Middle East,"November 24, 2017",2017,1,NA,1,NA,Vehicle Accident,"Jiroft, Kerman province, Iran","28.675112400000, 57.737156900000",NA
Mediterranean,"November 24, 2017",2017,1,NA,1,NA,Presumed drowning,"3 nautical miles east of Benabdelmalek Ramdane, 38 km east of Mostaganem, Algeria","36.198825876138, 0.218307777344",http://bit.ly/2j9ox5L
US-Mexico Border,"November 24, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.179197800000, -112.947334100000",http://www.humaneborders.info/app/mapa.asp
North Africa,"November 24, 2017",2017,20,NA,NA,NA,Vehicle Accident,"Ajdabiya, Libya","20.140259400000, 30.214647000000",NA
North Africa,"November 24, 2017",2017,2,NA,2,NA,Excessive Physical Abuse,"Sabratha, Libya","12.449522100000, 32.781101600000",NA
Mediterranean,"November 23, 2017",2017,21,1,NA,NA,Sickness and lack of access to medicines,Unspecified location between Libya and Italy,"34.060179168559, 13.059502362500","http://bit.ly/2A7yybs, http://bit.ly/2BgQX5M, http://bit.ly/2jptYxi, http://bit.ly/2hUswSX"
Mediterranean,"November 23, 2017",2017,1,NA,NA,NA,Presumed drowning,"Off the coast of Mostaganem, Algeria","36.059764585990, 0.090699623438","http://bit.ly/2kGFFjD, http://bit.ly/2kI1LCb"
Europe,"November 22, 2017",2017,1,NA,1,NA,Unknown,"Mountain village in Evros region, Greece","41.244376100000, 26.135943100000","http://wapo.st/2zfJNNq, https://bit.ly/2s2ELTe"
Mediterranean,"November 22, 2017",2017,6,NA,1,NA,Presumed drowning,Unspecified location between Libya and Italy,"34.405333936080, 13.982353925000",http://bit.ly/2hWHagg
Caribbean,"November 22, 2017",2017,3,2,1,1,Vehicle Accident,"Motorway near Hato del Medio, Monte Cristi, Dominican Republic","19.693913800000, -71.315631500000","http://bit.ly/2iUy7K8, http://bit.ly/2jqTZw6"
Mediterranean,"November 22, 2017",2017,1,NA,1,NA,Presumed drowning,"Off the coast of Mostaganem, Algeria","36.055323767952, 0.076966713281","http://bit.ly/2kGFFjD, http://bit.ly/2kI1LCb"
Sub-Saharan Africa,"November 22, 2017",2017,1,NA,1,1,Sickness and lack of access to medicines,"Agadez, Niger","7.986535000000, 16.974168900000",NA
Sub-Saharan Africa,"November 22, 2017",2017,1,NA,1,1,Sickness and lack of access to medicines,"Bamako, Mali","-8.002889200000, 12.639231600000",NA
North Africa,"November 22, 2017",2017,3,NA,NA,NA,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya","12.919921880000, 24.537441720000",NA
Europe,"November 21, 2017",2017,1,1,NA,1,Hit by train,Serbia-Croatia border,"45.152321827345, 19.133105568750","https://twitter.com/MSF_Sea/status/933377291769597954, http://bit.ly/2hP1Rat"
North Africa,"November 21, 2017",2017,1,1,NA,1,Harsh weather/lack of adequate shelter,"Unspecified location in the Sahara desert, Libya","14.062500000000, 25.195311080000",NA
North Africa,"November 21, 2017",2017,1,NA,1,NA,Harsh weather/lack of adequate shelter,"Unspecified location in the Sahara desert, Libya","15.578613280000, 25.215191680000",NA
North Africa,"November 20, 2017",2017,2,NA,2,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","14.677734380000, 24.956491290000",NA
Mediterranean,"November 19, 2017",2017,4,NA,3,1,Drowning,"Santa Catalina, Ceuta, Spain","35.904917419285, -5.291584069312","http://bit.ly/2AY0ddX, http://bit.ly/2jby8bE, http://bit.ly/2j994Ca, http://bit.ly/2AipgJK, http://bit.ly/2ARCLzz"
US-Mexico Border,"November 19, 2017",2017,5,NA,1,NA,"Hyperthermia, Presumed drowning","Off the coast of La Jolla, San Diego County, California","32.831945758514, -117.288437837700",http://bit.ly/2zjFwNo
US-Mexico Border,"November 19, 2017",2017,1,NA,NA,NA,Drowning,"All American Canal, between Bowker and Cole St., Calexico, Imperial County, California, USA","32.694220045164, -115.465535807870",http://bit.ly/2A26W9x
South Asia,"November 18, 2017",2017,5,NA,5,NA,Shot,"District of Kech, Balochistan province, Pakistan, near the border with Iran","26.156055800000, 63.014757800000","https://yhoo.it/2zkGfgY, http://bit.ly/2hM0DAb"
North Africa,"November 18, 2017",2017,20,NA,NA,NA,"Starvation, Excessive Physical Abuse","Bani Walid, Libya","14.053676000000, 31.797583100000",NA
North Africa,"November 18, 2017",2017,3,NA,NA,NA,Sickness and lack of access to medicines,"Kufra, Libya","21.856858600000, 23.311238900000",NA
North Africa,"November 18, 2017",2017,1,1,NA,NA,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya","22.741699220000, 29.277115800000",NA
Middle East,"November 17, 2017",2017,1,NA,1,NA,Shot,"Syrian/Turkish border, Idlib province, near Iskenderun, Hatay, Turkey","36.479843444819, 36.551897838281",http://www.syriahr.com/en/?p=78427
Mediterranean,"November 17, 2017",2017,1,NA,NA,NA,Presumed drowning,"Off the coast of Mostaganem, Algeria","36.101939856583, 0.057740639063","http://bit.ly/2kI1LCb, http://bit.ly/2ARL2U7"
US-Mexico Border,"November 17, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.904501800000, -110.419927800000",http://www.humaneborders.info/app/mapa.asp
North Africa,"November 17, 2017",2017,3,NA,NA,NA,Unknown,"Atbara, Sudan","34.008439500000, 17.701452500000",NA
Mediterranean,"November 16, 2017",2017,1,NA,NA,NA,Drowning,"Al Maya, west of Tripoli, Libya","32.811542676207, 12.897253417969",NA
US-Mexico Border,"November 16, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.965863000000, -110.245072000000",http://www.humaneborders.info/app/mapa.asp
Sub-Saharan Africa,"November 16, 2017",2017,1,NA,1,NA,Unknown,"Agadez, Niger","7.986535000000, 16.974168900000",NA
Sub-Saharan Africa,"November 16, 2017",2017,2,NA,2,NA,Starvation,"N'Djamena, Chad","15.055741500000, 12.134845700000",NA
North Africa,"November 16, 2017",2017,1,1,NA,NA,Unknown,"Tripoli, Libya","13.191338300000, 32.887209400000",NA
South Asia,"November 15, 2017",2017,15,NA,15,NA,Shot,"Region of Buleda, Balochistan province, Pakistan","26.005743000000, 63.056980700000","http://reut.rs/2hDHksE, http://nyti.ms/2AMgC4X"
US-Mexico Border,"November 15, 2017",2017,1,NA,1,NA,Unknown,"Open desert, Ocotillo,  Imperial County, California","-115.696530000000, 33.394450000000",NA
North Africa,"November 15, 2017",2017,5,NA,NA,NA,Starvation,"Aswan, Egypt","32.899829300000, 24.088938000000",NA
North Africa,"November 15, 2017",2017,2,NA,2,NA,"Starvation, Excessive Physical Abuse","Bani Walid, Libya","14.053676000000, 31.797583100000",NA
Sub-Saharan Africa,"November 15, 2017",2017,1,NA,1,NA,"Starvation, Dehydration","Bobo Dioulasso, Burkina Faso","-4.305154200000, 11.164921900000",NA
Sub-Saharan Africa,"November 15, 2017",2017,2,NA,2,NA,"Excessive Physical Abuse, Starvation, Dehydration","Dori, Burkina Faso","-0.023320800000, 14.024647300000",NA
Sub-Saharan Africa,"November 15, 2017",2017,2,NA,2,NA,Excessive Physical Abuse,"Gao, Mali","-0.027986700000, 16.263980700000",NA
Central America,"November 14, 2017",2017,2,NA,2,1,Shot,"Near Huimanguillo, Tabasco, Mexico, in motorway Ocozocoautla, Chiapas-Las Choapas, Veracruz","17.832044100000, -93.391810600000","http://bit.ly/2ADFR9I, http://bit.ly/2hqwmDe"
Central America,"November 14, 2017",2017,1,NA,1,NA,Vehicle Accident,"Motorway Mexico-Orizaba, near Cuauhtémoc stadium, Puebla, Mexico","19.067714400000, -98.187811600000",http://bit.ly/2AKtitZ
North Africa,"November 14, 2017",2017,3,NA,3,NA,"Starvation, Excessive Physical Abuse","Bani Walid, Libya","14.053676000000, 31.797583100000",NA
North Africa,"November 14, 2017",2017,2,NA,NA,NA,Unknown,"Sabratha, Libya","12.449522100000, 32.781101600000",NA
North Africa,"November 14, 2017",2017,1,1,NA,NA,Sickness and lack of access to medicines,"Suakin, Sudan","37.329286100000, 19.104038900000",NA
Central America,"November 13, 2017",2017,2,NA,2,NA,Murdered,"Bodies retrieved between Colonia Tonina and Azteca, Palenque, Chiapas, Mexico","17.514978700000, -91.988387200000","http://bit.ly/2hqwmDe, http://bit.ly/2yZl0Bd"
Central America,"November 13, 2017",2017,1,NA,1,NA,Fall from train,"Train tracks in Mazatlán, Sinaloa, Mexico","23.249414800000, -106.411142500000",http://bit.ly/2mueaxV
Sub-Saharan Africa,"November 13, 2017",2017,1,NA,1,1,Dehydration,"Niamey, Niger","2.125385400000, 13.511596300000",NA
North Africa,"November 13, 2017",2017,2,NA,2,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","21.665039060000, 27.887942670000",NA
Central America,"November 12, 2017",2017,2,NA,2,NA,Vehicle Accident,"Motorway near Malpaisillo, Léon, Nicaragua","12.616764381031, -86.678733699219",http://bit.ly/2AHhx7S
Mediterranean,"November 12, 2017",2017,2,NA,NA,NA,Presumed drowning,"Bodies retrieved near Al Maya, west of Tripoli, Libya","32.821929803103, 12.898626708984",NA
Sub-Saharan Africa,"November 12, 2017",2017,1,1,NA,NA,Sickness and lack of access to medicines,"Ougadougou, Burkina Faso","-1.519660300000, 12.371427700000",NA
North Africa,"November 12, 2017",2017,1,1,NA,NA,Sickness and lack of access to medicines,"Sabha, Libya","14.429023600000, 27.036540600000",NA
North Africa,"November 12, 2017",2017,3,NA,NA,NA,Harsh weather/lack of adequate shelter,"Unspecified location in the Sahara desert, Libya","22.609863280000, 29.200423170000",NA
Middle East,"November 12, 2017",2017,1,NA,1,NA,Shot,"Kerman province, Iran","29.485008900000, 57.643904800000",NA
Middle East,"November 11, 2017",2017,1,NA,1,NA,Vehicle Accident,"Fars province, Iran","29.104381300000, 53.045893000000",NA
Middle East,"November 11, 2017",2017,1,NA,1,NA,Vehicle Accident,"Boshahr province, Iran","28.762073900000, 51.515007700000",NA
Mediterranean,"November 11, 2017",2017,1,NA,1,1,Presumed drowning,"Palios Madamou, near Mantamado, northeastern coast of Lesvos, Greece","39.343995090707, 26.383975862793",http://www.hcg.gr/node/16479
US-Mexico Border,"November 11, 2017",2017,1,NA,1,NA,Drowning,"Río Bravo, Díaz Ordaz, Tamaulipas, Mexico","26.234772644307, -98.580264224268","http://bit.ly/2iX18UM, http://bit.ly/2zKRexc"
Mediterranean,"November 11, 2017",2017,1,1,NA,NA,Drowning,"Off the coast of Mantamado, northeastern coast of Lesvos, Greece","39.328328251178, 26.428951143555",NA
Sub-Saharan Africa,"November 11, 2017",2017,1,NA,1,NA,Vehicle Accident,"Tunduma, on the Tanzania-Zambia border","32.768947900000, 9.309564800000",NA
Middle East,"November 10, 2017",2017,2,1,1,NA,Shot,"Syrian/Turkish border, Idlib province, near Iskenderun, Hatay, Turkey","36.540551558948, 36.584856822656",http://www.syriahr.com/en/?p=78189
Middle East,"November 10, 2017",2017,1,NA,1,NA,Vehicle Accident,"Karaj, Alborz province, Iran","35.840018800000, 50.939090600000",NA
US-Mexico Border,"November 09, 2017",2017,1,NA,1,NA,Drowning,"Río Bravo, Centro Recreativo La Playita, Reynosa, Tamaulipas, Mexico","26.143301175123, -98.330944598395",http://bit.ly/2zw7zYD
Mediterranean,"November 09, 2017",2017,2,NA,2,NA,Presumed drowning,"Beach in Tangiers, Morocco","35.777154148825, -5.789837326123",http://bit.ly/2m9h8rt
Mediterranean,"November 09, 2017",2017,1,NA,1,1,Presumed drowning,"Sarakina Mamadou, near Mantamado, northeastern coast of Lesvos, Greece","39.350632522991, 26.376079439453",http://www.hcg.gr/node/16475
US-Mexico Border,"November 09, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.190352400000, -112.914147600000",http://www.humaneborders.info/app/mapa.asp
North Africa,"November 09, 2017",2017,1,NA,1,NA,Sickness and lack of access to medicines,"Unspecified location in the Sahara desert, Libya","15.534667970000, 24.297353380000",NA
North Africa,"November 08, 2017",2017,1,NA,1,1,Unknown,"Benghazi, Libya","20.086790900000, 32.119424200000",NA
North Africa,"November 08, 2017",2017,1,NA,1,NA,"Starvation, Dehydration","Kassala, Sudan","36.403962900000, 15.458133200000",NA
North Africa,"November 08, 2017",2017,2,2,NA,NA,Harsh weather/lack of adequate shelter,"Unspecified location in the Sahara desert, Libya","13.853759770000, 28.464013180000",NA
North Africa,"November 08, 2017",2017,2,NA,2,2,"Starvation, Dehydration","Unspecified location in the Sahara desert, Libya","14.106445310000, 29.051517840000",NA
Mediterranean,"November 07, 2017",2017,1,NA,NA,NA,Unknown (found on dinghy),"Unspecified location off the coast of Tangiers, Morocco","35.875277696775, -5.696625198438",http://bit.ly/2AigFFF
North Africa,"November 07, 2017",2017,1,NA,1,NA,Sickness and lack of access to medicines,"Al Hajer, Sudan","33.229176960000, 14.101544910000",NA
North Africa,"November 07, 2017",2017,5,NA,NA,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","12.919921880000, 24.537441720000",NA
North Africa,"November 07, 2017",2017,2,2,NA,NA,"Starvation, Dehydration, Harsh weather/lack of adequate shelter, Suffocation","Unspecified location in the Sahara desert, Libya","14.238281250000, 24.557428430000",NA
Mediterranean,"November 06, 2017",2017,34,NA,NA,1,Presumed drowning,"30 nautical miles north of Tripoli, Libya","34.341859153473, 13.828545331250","http://bit.ly/2zBoHgB, http://reut.rs/2zB3iEf, http://bit.ly/2zpGEgX"
Mediterranean,"November 06, 2017",2017,1,1,NA,1,Presumed drowning,"Aspropotamos, near Mantamado, northeastern coast of Lesvos, Greece","39.343198556470, 26.375392793945",http://www.hcg.gr/node/16439
US-Mexico Border,"November 06, 2017",2017,1,1,NA,NA,Unknown,"1298 W Military Road, Mission, Hidalgo County, Texas, USA","-98.412348100000, 26.202155000000",NA
US-Mexico Border,"November 06, 2017",2017,1,NA,1,NA,Drowning,"All American Canal, Drop 2, Winterhaven, Imperial County, California","-114.974650000000, 32.705120000000",NA
North Africa,"November 06, 2017",2017,4,NA,4,NA,Starvation,"Aswan, Egypt","32.899829300000, 24.088938000000",NA
North Africa,"November 06, 2017",2017,3,NA,NA,NA,Starvation,"Tamanrasset, Algeria","5.525810700000, 22.788820900000",NA
US-Mexico Border,"November 05, 2017",2017,1,NA,1,NA,Drowning,"Río Bravo, near Puente III del Comercio Mundial, Nuevo Laredo, Tamaulipas, Mexico","27.597622627217, -99.537279477216",http://bit.ly/2AlX5YW
Middle East,"November 05, 2017",2017,1,NA,1,NA,Vehicle Accident,"Iranshahr, Sistan and Baluchestan province, Iran","27.201200000000, 60.686581700000",NA
Mediterranean,"November 04, 2017",2017,1,1,NA,NA,Fuel burns,"Mohamed V Hospital, Tangiers, Morocco","35.778176000000, -5.827966600000","http://bit.ly/2zilYWb, http://bit.ly/2yIuEZ6"
North Africa,"November 04, 2017",2017,5,NA,NA,NA,Unknown,"Unspecified location in the Sahara desert, Libya","14.062500000000, 25.195311080000",NA
North Africa,"November 04, 2017",2017,1,1,NA,NA,Sickness and lack of access to medicines,"Unspecified location in the Sahara desert, Libya","15.578613280000, 25.215191680000",NA
Mediterranean,"November 03, 2017",2017,10,1,NA,NA,Drowning,"Off Kalymnos Island, Greece","37.031187012469, 27.126068793164",http://reut.rs/2h0CFxe
Mediterranean,"November 03, 2017",2017,76,23,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.000148459845, 13.053526312500","https://goo.gl/vcLquk, http://bit.ly/2y65sHj"
Mediterranean,"November 03, 2017",2017,14,3,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.078380455797, 13.081475018750",http://bit.ly/2y65sHj
US-Mexico Border,"November 03, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.117359800000, -113.190520300000",http://www.humaneborders.info/app/mapa.asp
Sub-Saharan Africa,"November 02, 2017",2017,6,NA,NA,NA,Presumed drowning,North-west off Mtsamboro Island - en route to Mayotte (France),"-12.626542185194, 45.063276784375",http://bit.ly/2iCAIaK
North Africa,"November 02, 2017",2017,3,NA,3,NA,Starvation,"Ajdabiya, Libya","20.140259400000, 30.214647000000",NA
Mediterranean,"November 01, 2017",2017,8,NA,NA,NA,Unknown,Unspecified location off the coast of Libya,"33.690138498642, 12.661743164062",http://bit.ly/2z7vknw
Europe,"November 01, 2017",2017,1,NA,1,NA,Hit by train,"Train tracks near Oltrisarco, Bolzano, South Tyrol, Italy","46.484368743783, 11.341695839148",http://bit.ly/2il8KA1
US-Mexico Border,"November 01, 2017",2017,1,NA,NA,NA,Unknown (skeletal remains),"Ranch near Falfurrias, Brooks County, Texas","27.152473267425, -98.213522596289",http://bit.ly/2Angycv
Southeast Asia,"October 31, 2017",2017,4,2,2,3,Drowning,"Bay of Bengal, near Baillakhali Sea Point, Jaliapalong Union, Ukhiya Upazila, Bangladesh","21.239646011184, 92.028997869531",http://bit.ly/2h2Ol6c
North Africa,"October 31, 2017",2017,1,NA,1,NA,Presumed drowning,"900m off the coast of Morro Jable, Fuerteventura, Canary Islands, Spain","28.045125339503, -14.351981153442",http://bit.ly/2zdUO4Q
North Africa,"October 31, 2017",2017,3,NA,NA,NA,"Suffocation, Excessive Physical Abuse","Ajdabiya, Libya","20.140259400000, 30.214647000000",NA
Mediterranean,"October 30, 2017",2017,2,NA,2,NA,Presumed drowning,"Off the coast of Mostaganem, Algeria","36.076415421565, 0.045381019922",http://bit.ly/2ijciCX
Southeast Asia,"October 30, 2017",2017,3,NA,NA,1,Drowning,"Off the coast of Sabrang Union, Teknaf, Bangladesh","20.827424385757, 92.277615941064",NA
Europe,"October 30, 2017",2017,1,NA,1,NA,Vehicle Accident,"A23 motorway Palmanova-Tarvisio, near Pagnacco, Udine, Italy","46.125889800191, 13.202502908057","http://bit.ly/2z53pqK, http://bit.ly/2zR73RY, http://bit.ly/2k5xH3a"
US-Mexico Border,"October 30, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.179197800000, -112.947334100000",http://www.humaneborders.info/
Sub-Saharan Africa,"October 30, 2017",2017,2,1,1,1,"Starvation, Dehydration","Agadez, Niger","7.986535000000, 16.974168900000",NA
North Africa,"October 30, 2017",2017,2,NA,2,NA,Dehydration,"Kufra, Libya","21.856858600000, 23.311238900000",NA
North Africa,"October 30, 2017",2017,5,NA,NA,NA,Unknown,"Unspecified location in the Sahara desert, Libya","21.665039060000, 27.887942670000",NA
North Africa,"October 30, 2017",2017,3,NA,3,NA,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya","22.741699220000, 29.277115800000",NA
North Africa,"October 30, 2017",2017,5,NA,5,NA,"Starvation, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya","14.677734380000, 24.956491290000",NA
Mediterranean,"October 29, 2017",2017,5,NA,NA,NA,Presumed drowning,"Off the coast of Tangiers, Morocco","35.839661046921, -5.787262405469","http://bit.ly/2iMyQzH, http://bit.ly/2xyQfyp, http://bit.ly/2inlupO"
Sub-Saharan Africa,"October 29, 2017",2017,2,NA,2,1,Vehicle Accident,"Bamako, Mali","-8.002889200000, 12.639231600000",NA
North Africa,"October 29, 2017",2017,1,NA,1,NA,"Shot, Stabbed","Benghazi, Libya","20.086790900000, 32.119424200000",NA
North Africa,"October 28, 2017",2017,6,NA,NA,NA,Unknown,"Unspecified location in the Sahara desert, Sudan","25.773925780000, 18.948180500000",NA
Sub-Saharan Africa,"October 28, 2017",2017,1,NA,1,NA,Dehydration,"Tunduma, on the Tanzania-Zambia border","32.768947900000, 9.309564800000",NA
US-Mexico Border,"October 27, 2017",2017,1,NA,1,NA,Drowning,"Irrigation canal, Calexico, Imperial County, California","-115.072460000000, 32.996590000000",NA
Mediterranean,"October 26, 2017",2017,1,NA,1,NA,Unknown,"Body found under truck in ferry in Port of Melilla, Spain","35.291156590870, -2.927625956006","http://bit.ly/2zRCBbm, http://bit.ly/2lpGctQ"
North Africa,"October 26, 2017",2017,4,NA,NA,NA,Unknown,"Sahara desert, Sudan, near the border with Egypt","32.717285160000, 21.851620760000",NA
Middle East,"October 25, 2017",2017,1,NA,1,NA,Violence,"Syrian/Turkish border, Ras al-Ayn, Hasaka governorate, Syria","36.858546875103, 40.080746636523",http://www.syriahr.com/en/?p=77073
Sub-Saharan Africa,"October 25, 2017",2017,1,NA,1,NA,Sickness and lack of access to medicines,"Beitbridge, South Africa","29.989149250000, -22.225581760000",NA
Sub-Saharan Africa,"October 25, 2017",2017,3,1,1,1,Vehicle Accident,"Mopti, Mali","-4.197462700000, 14.487428400000",NA
US-Mexico Border,"October 24, 2017",2017,1,NA,NA,NA,Unknown (skeletal remains),"Ranch near Sarita, Kenedy County, Texas, USA","27.218799736744, -97.794112418555",http://bit.ly/2z9uA3X
North Africa,"October 24, 2017",2017,1,NA,1,NA,Dehydration,Egypt-Libya border,"24.981536870000, 30.664494070000",NA
Sub-Saharan Africa,"October 24, 2017",2017,4,NA,4,NA,"Dehydration, Harsh weather/lack of adequate shelter","Madamma, Niger, near the border with Libya","13.626142400000, 21.935449900000",NA
Sub-Saharan Africa,"October 24, 2017",2017,4,NA,NA,NA,"Dehydration, Harsh weather/lack of adequate shelter, Suffocation","Outside Dirkou, Niger, near the border with Libya","13.081790300000, 19.004818100000",NA
North Africa,"October 24, 2017",2017,3,NA,3,NA,"Starvation, Dehydration","Unspecified location in the Sahara desert, Sudan","27.839355470000, 18.365278460000",NA
US-Mexico Border,"October 23, 2017",2017,8,NA,NA,NA,Unknown,"Starr County, Texas, USA","26.621516700000, -98.748116700000",NA
Sub-Saharan Africa,"October 23, 2017",2017,3,1,2,2,Vehicle Accident,"Bamako, Mali","-8.002889200000, 12.639231600000",NA
